record_id,claim_id,source_type,citation_key,title,authors,year,venue,doi_or_registry_url,primary_source_url,exact_locator,semantic_support,status,notes
REF-001,A-L2,publisher,BertsimasSim2004,The Price of Robustness,Dimitris Bertsimas; Melvyn Sim,2004,Operations Research,https://doi.org/10.1287/opre.1030.0065,https://pubsonline.informs.org/doi/10.1287/opre.1030.0065,"52(1):35-53; robust-counterpart development and discrete-optimization discussion","Budgeted uncertainty; scalar auxiliary-variable robust reformulation; tractable discrete extension",verified,"Primary INFORMS metadata checked 2026-08-09"
REF-002,A-L3,publisher,Buesing2023,A branch and bound algorithm for robust binary optimization with budget uncertainty,Christoph Buesing; Tim Gersing; Arie M. C. A. Koster,2023,Mathematical Programming Computation,https://doi.org/10.1007/s12532-022-00232-2,https://link.springer.com/article/10.1007/s12532-022-00232-2,"Introduction lines 91-96 on finite deviation family; Sections 4-7 on B&B","Zero plus original deviations and robust-family branch-and-bound are prior general results",verified,"Used to narrow Paper A novelty; spelling rendered as Buesing in ledger for portability"
REF-003,A-L1,publisher,Dyer1984,An O(n) algorithm for the multiple-choice knapsack linear program,M. E. Dyer,1984,Mathematical Programming,https://doi.org/10.1007/BF02591729,https://link.springer.com/journal/10107/volumes-and-issues/29-1,"29(1):57-63","Linear-time MCKP LP algorithm and classical LP structure",verified,"Corrected inherited wrong DOI BF02592083, which resolves to an unrelated notice"
REF-004,A-L1,publisher,Sinha1979,The Multiple-Choice Knapsack Problem,Prabhakant Sinha; Andris A. Zoltners,1979,Operations Research,https://doi.org/10.1287/opre.27.3.503,https://pubsonline.informs.org/doi/10.1287/opre.27.3.503,"27(3):503-515; abstract","MCKP definition; B&B using rapid LP relaxation and reoptimization",verified,"Primary INFORMS metadata checked 2026-08-09"
REF-005,A-L3,publisher,Caserta2019,The robust multiple-choice multidimensional knapsack problem,Marco Caserta; Stefan Voss,2019,Omega,https://doi.org/10.1016/j.omega.2018.06.014,https://www.sciencedirect.com/science/article/pii/S0305048317305777,"Abstract and introduction lines 66-99","Robust MMKP under ellipsoidal uncertainty; conic/linear formulations and matheuristic",verified,"Corrects earlier manuscript characterization as a generic budgeted MILP"
REF-006,A-L3,publisher,Hamzeei2022,Robust price optimization of multiple products under interval uncertainties,Mahdi Hamzeei; Alvin Lim; Jiefeng Xu,2022,Journal of Revenue and Pricing Management,https://doi.org/10.1057/s41272-021-00351-w,https://link.springer.com/article/10.1057/s41272-021-00351-w,"Abstract lines 35-38","Robust multiproduct pricing under interval uncertainty in price sensitivity",verified,"Version of record metadata checked on Springer"
REF-007,A-L3,publisher,Harsha2019,A Practical Price Optimization Approach for Omnichannel Retailing,Pavithra Harsha; Shivaram Subramanian; Markus Ettl,2019,INFORMS Journal on Optimization,https://doi.org/10.1287/ijoo.2019.0018,https://pubsonline.informs.org/doi/10.1287/ijoo.2019.0018,"Abstract; PDF Section 4 and constraints (8),(11),(12)","Discrete prices, price bounds, and practical business constraints with cross-channel demand",verified,"Primary INFORMS metadata checked 2026-08-09"
REF-008,A-L3,publisher,ShaoMaiCheng2026,Constrained Pricing in Logit-Based Revenue Management,Qian Shao; Tien Mai; Shih-Fen Cheng,2026,INFORMS Journal on Computing,https://doi.org/10.1287/ijoc.2024.0852,https://pubsonline.informs.org/doi/full/10.1287/ijoc.2024.0852,"Abstract lines 195-204; literature review lines 227-246","Current constrained pricing work under MNL demand; price and probability constraints; MILP approximation",verified,"Published online 2026-02-20 and therefore relevant to Paper A positioning"
REF-009,A-L3,publisher,Thiele2009,Multi-product pricing via robust optimisation,Aurelie Thiele,2009,Journal of Revenue and Pricing Management,https://doi.org/10.1057/rpm.2008.41,https://doi.org/10.1057/rpm.2008.41,"8(1):67-80; abstract","Robust multiproduct pricing under range forecasts and resource-use uncertainty",verified,"DOI metadata resolved; exact full text locator pending if detailed claims are added"
REF-010,A-L1,publisher,Nauss1978,The 0-1 knapsack problem with multiple choice constraints,Robert M. Nauss,1978,European Journal of Operational Research,https://doi.org/10.1016/0377-2217(78)90108-X,https://www.sciencedirect.com/science/article/pii/037722177890108X,"Abstract; 2(2):125-131","Discrete multiple-choice knapsack formulation; two branch-and-bound relaxations and variable reduction",verified,"Primary Elsevier metadata checked 2026-08-09"
